Altium Designer Pick and Place Locations
E:\Projects\2024\Ivan Ursul - RPi ZERO\Ivan Ursul - RPi ZERO\Project Outputs\Pick Place\Ivan Ursul - RPi ZERO.csv

========================================================================================================================
File Design Information:

Date:       19/11/24
Time:       11:49
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"SW","1437575-1","TopLayer","SW_MLL1200S","4349.000","3631.716","0","Slide Switch SPDT Surface Mount, Right Angle"
"R31","1K","TopLayer","R0603","4658.000","3674.000","270","R0603"
"D3","KP-1608SURCK","TopLayer","LED_KP-1608SURCK","4617.520","3618.000","0","LED; SMD; 0603; red; 50-150mcd; 1.6x0.8mm; 120°; 20mA;"
"U7","ADS1115IRUGR","TopLayer","IC_ADS1115IRUGR","3499.000","4192.000","0","16-bit, 860-SPS, 4-channel, delta-sigma ADC with PGA, oscillator, VREF, comparator and I2C"
"R30","4.7K","TopLayer","R0603","3568.000","4223.000","270","R0603"
"R29","4.7K","TopLayer","R0603","3476.000","4279.000","180","R0603"
"C13","0.1uF","TopLayer","CAPC1608X90","3606.000","4210.260","90","C0603"
"J2","54-00177","TopLayer","TENSILITY_54-00177","3556.000","3806.496","0","Connector, 4C audio jack, 3.5xL14 mm, SMT mount, gold plated"
"U6","DW01A","TopLayer","SOT95P280X145-6N","4614.000","3782.000","0","One Cell Lithium-ion/Polymer Battery Protection IC"
"U5","TP4056","TopLayer","SOP127P600X175-9N","4588.207","4042.351","0","Complete single cell Li-Ion battery with a constant current / constant voltage linear charger"
"U4","AD8232ACPZ-R7","TopLayer","QFN50P400X400X100-21N","3940.819","4225.370","90","None"
"R28","1M","TopLayer","R0603","4093.000","4272.000","270","R0603"
"R27","100k","TopLayer","R0603","4133.000","4272.000","90","R0603"
"R26","1M","TopLayer","R0603","4186.000","4271.992","270","R0603"
"R25","1K","TopLayer","R0603","4487.000","3782.000","0","R0603"
"R24","1.2K","TopLayer","R0603","4396.000","4087.000","270","R0603"
"R23","1M","TopLayer","R0603","4225.000","4271.992","270","R0603"
"R22","1K","TopLayer","R0603","4928.000","3669.000","180","R0603"
"R21","360k","TopLayer","R0603","4021.000","3991.000","270","R0603"
"R20","10M","TopLayer","R0603","3781.000","4225.000","180","R0603"
"R19","10M","TopLayer","R0603","3781.000","4266.000","180","R0603"
"R18","100E","TopLayer","R0603","4690.000","3898.000","270","R0603"
"R17","1K","TopLayer","R0603","4788.000","3666.000","180","R0603"
"R16","180K","TopLayer","R0603","3944.000","3990.000","270","R0603"
"R15","180K","TopLayer","R0603","3906.000","3990.000","270","R0603"
"R14","1M","TopLayer","R0603","4225.000","4200.992","270","R0603"
"R13","1M","TopLayer","R0603","4225.000","4130.992","270","R0603"
"R12","1.4M","TopLayer","R0603","4187.000","4129.992","90","R0603"
"R11","10M","TopLayer","R0603","3983.000","3991.000","270","R0603"
"R10","10M","TopLayer","R0603","3868.000","3990.000","270","R0603"
"Q2","FS8205A","TopLayer","SOP65P640X120-8N","4591.000","4264.000","180","N/A"
"JP1","Battery","TopLayer","1X02","5033.000","4388.000","270",""
"J1","TYPE-C-31-M-12","TopLayer","HRO_TYPE-C-31-M-12","4982.496","4051.000","90","USB Connectors 24 Receptacle 1 8.94*7.3mm RoHS"
"D2","KP-1608SURCK","TopLayer","LED_KP-1608SURCK","4896.520","3619.000","0","LED; SMD; 0603; red; 50-150mcd; 1.6x0.8mm; 120°; 20mA;"
"D1","KP-1608SURCK","TopLayer","LED_KP-1608SURCK","4758.000","3618.000","0","LED; SMD; 0603; red; 50-150mcd; 1.6x0.8mm; 120°; 20mA;"
"C12","1.5nf","TopLayer","CAPC1608X90","4221.260","4319.992","0","C0603"
"C11","10nf","TopLayer","CAPC1608X90","4061.000","4214.260","270","C0603"
"C10","10uf","TopLayer","CAPC1608X90","4811.000","4266.287","90","C0603"
"C9","0.1uf","TopLayer","CAPC1608X90","3803.000","4306.740","270","C0603"
"C8","0.1uf","TopLayer","CAPC1608X90","3910.740","4350.000","180","C0603"
"C7","0.1uf","TopLayer","CAPC1608X90","4745.000","3852.260","90","C0603"
"C6","1nf","TopLayer","CAPC1608X90","4025.740","4102.000","180","C0603"
"C5","0.33uF","TopLayer","CAPC1608X90","3817.000","4141.260","90","C0603"
"C4","0.33uF","TopLayer","CAPC1608X90","4114.000","4115.740","270","C0603"
"S1","EVQPUC02K","TopLayer","EVQPUC02K","2680.000","4300.000","270","Switch"
"S2","EVQPUC02K","TopLayer","EVQPUC02K","2680.000","3940.000","270","Switch"
"R9","1K","TopLayer","R0603","3266.000","4081.000","270","R0603"
"R8","1K","TopLayer","R0603","2785.000","4060.000","270","R0603"
"R7","1K","TopLayer","R0603","2785.000","4420.000","270","R0603"
"R6","4.7K","TopLayer","R0603","3894.000","3611.000","180","R0603"
"R5","4.7K","TopLayer","R0603","3894.000","3571.000","180","R0603"
"R4","10K","TopLayer","R0603","3302.000","4300.000","180","R0603"
"R3","10K","TopLayer","R0603","3302.000","4338.000","0","R0603"
"R2","4.7K","TopLayer","R0603","3188.000","4267.000","180","R0603"
"R1","4.7K","TopLayer","R0603","3104.000","4325.000","180","R0603"
"U3","ICM-40609-D","TopLayer","LGA24_ICM-40609_IVS","4003.000","3627.000","90","No Description Available"
"U2","RASPBERRY_PI_ZERO_2_W","TopLayer","MODULE_RASPBERRY_PI_ZERO_2_W","3880.000","4155.000","0","At the heart of Raspberry Pi Zero 2 W is RP3A0, a custom-built system-in-package designed by Raspberry Pi in the UK."
"U1","BMP388","TopLayer","PQFN50P200X200X80-10N","3203.000","4340.000","0","P-Sensor SPI I2C 1, 25 Bar SMD"
"Q1","NPN Transistor","TopLayer","SOT100P230X110-3N","3170.000","4035.000","180","Bipolar (BJT) Transistor NPN 45V 100mA 100MHz 150mW Surface Mount SOT-523"
"LS1","Speakers & Transducers 9.0 mm square 1.9 mm deep P 4.0 kHz 3 V SMT no driving circuit T&R package B   Source:  Datasheet","TopLayer","CPT9019BSMTTR","3035.000","3755.000","0",""
"C3","0.1uF","TopLayer","CAPC1608X90","4054.260","3718.000","0","C0603"
"C2","0.1uF","TopLayer","CAPC1608X90","4097.000","3617.260","90","C0603"
"C1","0.1uF","TopLayer","CAPC1608X90","3175.740","4405.000","0","C0603"
